ID,name,lyrics
11,合縁坂,赤い糸が見えますか 女と男の針仕事 もつれてからんで切れますか  合縁坂に眉の月 痩せたお前のようだねと呟く人 どうしてどうしてどうしてよ 男あっての女です 心も身もあなた命命 なにか隠していませんか やさしすぎます今夜のあなた  合縁坂のコンビニで 酒の肴をさがすとき仕合せです いいのよいいのよいいんです 人は誰でも綱渡り 心も身もあなた命命 春を隠した冬木立 風に吹かれて待ちますあなた  
12,合縁橋,今のしあわせ昔の傷を 写すおんなの水鏡 やっぱりここかと駆け寄る人に 笑い返せず目がうるむ 合縁橋の合縁橋の夢やどり  おまえその気になるまで待つと 袖を濡らした露しぐれ あなたのその胸一生借りて 広いふところ雨宿り 合縁橋の合縁橋の夢やどり  帰りたかった故郷さえも いつか忘れた露路あかり からだをはんぶんずらして眠る そんな寝姿忘れない 合縁橋の合縁橋の夢やどり 
13,愛・おぼえていますか,今あなたの声が聴こえる ここにおいでと 淋しさに負けそうなわたしに  今あなたの姿が見える 歩いてくる 目を閉じて待っているわたしに  昨日まで涙でくもってた 心は今  おぼえていますか目と目が会った時を おぼえていますか手と手が触れあった時 それは始めての愛の旅立ちでした   今あなたの視線感じる 離れてても 体中が暖かくなるの  今あなたの愛信じます どうぞ私を 遠くから見守って下さい  昨日まで涙でくもってた 世界は今  おぼえていますか目と目が会った時を おぼえていますか手と手が触れあった時 それは始めての愛の旅立ちでした   もうひとりぼっちじゃない あなたがいるから  おぼえていますか目と目が会った時を おぼえていますか手と手が触れあった時 それは始めての愛の旅立ちでした  
14,愛があれば大丈夫,どんなに迷っても 泣いても愛があれば大丈夫  人前でしてもカラオケでハモっても なんとなく不安なのよあなたの本当の気持ち 誰でもみんなそうね友達に聞いたけど 前向きなキャラクタの私似合わない  地球が無くなる最後の時まで あなただけ見つめ生きていたいのよ私 宇宙の果てから届くメッセジ どんなに迷っても泣いても 愛があれば大丈夫  ルスデンをチェックしたい一日中見張りたい 夜遊びの真最中 そっとあなたが囁く  ドキドキしちゃうけれど大人の女としては 格好良くお答えする出直しなさい  世界で一番好きな人だから 鮮やかな 決めてみたいのよ私 宇宙の果てから届くメッセジ どんなに迷っても泣いても 愛があれば大丈夫  才といろんな恋してきたけど こんな気持ちは初めてなの まっすぐあなただけ  地球が無くなる最後の時まで あなただけ見つめ生きていたいのよ私 宇宙の果てから届くメッセジ どんなに迷っても泣いても 愛があれば大丈夫 どんなに迷っても泣いても 愛があれば大丈夫 
15,愛がいそいでる,愛がいそいでる 遠くで君が呼ぶ 愛がいそいでる 大きく手をふる  この街を出よう うすい胸だけど 流されたくないから 君を守るから  今夜月が出て むかえに行くから 鏡の中に涙置いてこい  愛がいそいでる もうとてももどれない 愛がいそいでる ちぎれても心  あの角を曲がる 細い路地を曲がる さくらの窓の下で 細い口笛を吹く  君は窓を開けて 僕は真直ぐに あふれる想いを 君にそそぎ込む  愛がいそいでる もうとてももどれない 愛がいそいでる ちぎれても心  月が雲に流れてる 星は帰れない 僕の胸にしがみつく 君は溶けてゆく  愛がいそいでる もうとてももどれない 愛がいそいでる ちぎれても心  愛がいそいでる 遠くで君が呼ぶ 愛がいそいでる 夢が駆け抜ける 
16,合鍵,夜も更けてただひとり 外燈のうしろかげ あの人のアパトの 窓あかりみつめてる 私はかえれない もうあの部屋には  すばらしいらしい日がうもれていても 心の絆が途切れた今は この悲しみも届かないの  駐車場に置き去りの 乗り馴れた車にも あの人の横顔の 冷たさが浮かんでる 何が悪いのか 今も分からない  なつかしさだけがこみあげてくる 許されることが合鍵なのよ ドアをあけさせてもういちど  私はかえれない あの部屋あの人  すばらしいらしい日がうもれていても 心の絆が途切れた今は この悲しみも届かないの 
17,合鍵,乾いた町に風が吹く ほこりに巻かれて 愛が消える 私を女にした人なの やさしかった昨日まで  この合鍵が棄てられない あの扉二度と たたいちゃいけないの 唇をかんで 憎んでみるけど やっぱり愛しい 抱かれたい  乾いた道はバス通り あなたを待つように バスを待つ 死にたくなりそう夜が恐い 嘘でもいい追いかけて  この合鍵が棄てられない あの扉二度と たたいちゃいけないの 振り向きもせずに 歩いて来たのに 後ろが気になる 抱かれたい  ああ この合鍵が棄てられない あの扉二度と たたいちゃいけないの 唇をかんで 憎んでみるけど やっぱり愛しい 抱かれたい 
18,愛冠岬,遠く涙の岬を染めて 沈む夕陽に浜が哭く 波のうねりに浮かんで消える 面影ひとつ夢ひとつ ああ愛冠の岬よ 霧よ晴れてもう一度逢わせてよ  海よ風よ時を私に返しておくれ 岬のカムイよ せつない祈りをかなえておくれ  潮のつぶてに打たれて耐えて いのちを咲かせるむらさきの 花に重ねる女のこころ 死ぬことさえも許されぬ あ愛冠の岬よ 北の涯ての淋しさが凍りつく  海よ風よ愛の傷みを支えておくれ 岬のカムイよ 私の祈りをかなえておくれ  海よ風よ時を私に返しておくれ 岬のカムイよ 私の祈りをかなえておくれ かなえておくれ 
19,Blue Moon,曇り続きの毎日渇かぬ水たまり 遠いはずの月が近くで浮かんでいる  まだ胸でくすぶる記憶とすれ違うかのように 触れられぬ光は風に揺れて消えた  あの日隣寄り添わず向き合っていればきっと 君のうつろう視線にも気づいたはず  オモイをオモイデにする時の流れ 今は進まずに止まったままで  手のひらすり抜けこぼれたあの月は 遠い空で僕を照らしている  二人並んで歩いたコンビニの帰り道 少し買いすぎたといつもどおり笑ってた  忘れるには多すぎる君と過ごした日なら ただ懐かしく振り返れる過去になればいい  オモイをオモイデにする時の流れ 今は進まずに止まったままで  手のひらすり抜けこぼれたあの月は 遠い空で僕を照らしている  オモイをオモイデにする時の流れ 今は進まずに止まってるけど  水たまり渇く頃にはきっと僕も 少し明るい空を見上げてる 君はどこで空を見上げてる 二人別の空を見上げている 
20,愛がひとりぼっち,なみだくん彼に告げて 愛がずっとひとりぼっちよと  口びるあなたのシャツ押しあてて ギリギリ心のそば近づけば 落ち葉が舞い散る街の風の中 もうふたり動けない 見つめて見つめて胸のベル 奥に誰が住んでいるのかを 言葉じゃ気持ちは届かないでしょ そっと触れていいの ねぇ誰か彼に告げて 愛がずっとひとりぼっちよと  自分が傷つくのなら平気だね 誰かを泣かせたら悲しいね とまどうあなたのそんなやさしさが もっとつらいトゲになる  若さは素敵とみんな言うわ 恋も夢も明日君のもの だけどこぼれる今日の涙が 胸に落ちて痛い ねぇ誰か彼に告げて 愛がずっとひとりぼっちよと  若さは素敵とみんな言うわ 恋も夢も明日君のもの だけどこぼれる今日の涙が 胸に落ちて痛い ねぇ誰か彼に告げて 愛がずっとひとりぼっちよと  なみだくん彼に告げて 愛がずっとひとりぼっちよと 
21,愛がほしい,ああ雨の夜は誰か酔わせてください ああ水割りのグラスがくもる  指輪のあとの白さの理由は言えない 想い出と言うにはまだ辛すぎるから  愛がほしい心に 今がほしいぬくもり 一人じゃ哀しい季節の変わりめは  ああ酔うほどにあなたが昔の人に ああ見えて来るお酒のせいね  窓灯のひとつひとつに愛があるのね 雨よ降り続いてよ涙かくして  あなたはもう行くのね 時間が来れば行くのね 女に淋しい季節の変わりめは  愛がほしい心に 今がほしいぬくもり 一人じゃ哀しい季節の変わりめは 
22,愛がもう少し欲しいよ,恋がもう少ししたいよ街がざわめく冬の日 そばに寄りそうあなたに 人波の中抱きしめてもらいたくて  横顔に見とれる瞬間がある 見てる君どんな顔してるの 去年までとても遠い二人 今だって近いとはいえない  ときどき私は無理をしているよ 気持ちが育ち過ぎていくあなたへ向かって  愛がもう少し欲しいよ夜が訪れ夢見ても そばに寄り添うあなたと 歩くことさえできなくて  いつからか髪の毛に触れてる いつからかくちづけ交わしてる  流れる景色を眺めていたいよ 優しさきっとあなたに渡すよ残らず  愛がもう少し欲しいよ街がざわめく冬の日 そばに寄り添うあなたと それぞれの夢ひとつになってゆきたい  恋がもう少ししたいよ夜が訪れ夢見ても そばに寄り添うあなたと 歩くことさえ出来なくて  愛がもう少し欲しいよ街がざわめく冬の日 そばに寄り添うあなたと それぞれの夢ひとつになってゆきたい 
23,I・CAN・BE,すえたような愛のバリエション 行きつく果てなど もうわかってるようなものさラストシン  あきたならすぐ 逃げてしまえばそれで 全てが消せるわけもない     ハスにかまえて 映る君の影に 憧れていたあの頃には戻れない  行くよもうだ 涙も嘘になる 棘のないバラなんてスリルがない        君には俺は似合わないんじゃない 悲しい言葉で責めないで なまいきな女でいて欲しかったんだ これでさよなら      
24,愛・ケセラセラ,男なんて嘘つきと 悔やんでみてもくやしい 春が来て女は また誰かを求めて旅に出る 好きだとか嫌いとか 出逢いの中の話は 私なら飽きるほど 耳にしたし歩いたし  アアアケセラセラなるようになれ お酒飲んで今夜が 楽しい夢ならいい ケセラセラなるようになれ 優しさなど口先だけね なるようになればいい  いくじなしネろくでなし 自分を恨んでみても 一度だけ死ぬほど 尽くしたこともあった女です 泣きたいとか悔しいとか 言ってもいまさら悲しい 可愛い女ほど 泣きを見るし崩れるし  アアアケセラセラなるようになれ 涙かくし笑って 明日を生きればいい ケセラセラなるようになれ 優しさなど口先だけね なるようになればいい  アアアケセラセラなるようになれ お酒飲んで今夜が 楽しい夢ならいい ケセラセラなるようになれ 優しさなど口先だけね なるようになればいい 
